Project_Name,Project_Link,HTML_Filename,Full_Filepath,Download_Status
Granja horticultural park,https://una.city/nbs/lisboa/granja-horticultural-park,471_Granja_horticultural_park.html,raw_html_data\471_Granja_horticultural_park.html,Success
Grant Park Neighborhood Tree Planting,https://una.city/nbs/phoenix-fua/grant-park-neighborhood-tree-planting,472_Grant_Park_Neighborhood_Tree_Planting.html,raw_html_data\472_Grant_Park_Neighborhood_Tree_Planting.html,Success
Grass Cutting Reductions in Wakefield District,https://una.city/nbs/wakefield/grass-cutting-reductions-wakefield-district,473_Grass_Cutting_Reductions_in_Wakefield_District.html,raw_html_data\473_Grass_Cutting_Reductions_in_Wakefield_District.html,Success
Graça garden,https://una.city/nbs/lisboa/graca-garden,466_Graça_garden.html,raw_html_data\466_Graça_garden.html,Success
Great Route of Bilbao,https://una.city/nbs/bilbao/great-route-bilbao,475_Great_Route_of_Bilbao.html,raw_html_data\475_Great_Route_of_Bilbao.html,Success
Great bay mangrove action plan,https://una.city/nbs/fort-de-france-fua/great-bay-mangrove-action-plan,474_Great_bay_mangrove_action_plan.html,raw_html_data\474_Great_bay_mangrove_action_plan.html,Success
Great-Granny's Garden at the Botanical Garden of Oslo University,https://una.city/nbs/oslo/great-grannys-garden-botanical-garden-oslo-university,476_Great-Grannys_Garden_at_the_Botanical_Garden_of_Oslo_University.html,raw_html_data\476_Great-Grannys_Garden_at_the_Botanical_Garden_of_Oslo_University.html,Success
Green Area - Via Eroi d'Italia,https://una.city/nbs/cagliari-fua/green-area-eroi-ditalia,482_Green_Area_-_Via_Eroi_dItalia.html,raw_html_data\482_Green_Area_-_Via_Eroi_dItalia.html,Success
Green Area Inner-city tree planting agreement,https://una.city/nbs/bologna/green-area-inner-city-tree-planting-agreement,484_Green_Area_Inner-city_tree_planting_agreement.html,raw_html_data\484_Green_Area_Inner-city_tree_planting_agreement.html,Success
Green Belt of Medellin,https://una.city/nbs/medellin/green-belt-medellin,488_Green_Belt_of_Medellin.html,raw_html_data\488_Green_Belt_of_Medellin.html,Success
Green Belt of Nur-Sultan city,https://una.city/nbs/nur-sultan/green-belt-nur-sultan-city,489_Green_Belt_of_Nur-Sultan_city.html,raw_html_data\489_Green_Belt_of_Nur-Sultan_city.html,Success
"Green Blue Axis of Sintra, Oeiras and Amadora",https://una.city/nbs/lisboa-fua/green-blue-axis-sintra-oeiras-and-amadora,491_Green_Blue_Axis_of_Sintra_Oeiras_and_Amadora.html,raw_html_data\491_Green_Blue_Axis_of_Sintra_Oeiras_and_Amadora.html,Success
Green Bridge On Highway D2,https://una.city/nbs/bratislava/green-bridge-highway-d2,492_Green_Bridge_On_Highway_D2.html,raw_html_data\492_Green_Bridge_On_Highway_D2.html,Success
Green C: Securing and connecting natural spaces,https://una.city/nbs/bonn/green-c-securing-and-connecting-natural-spaces,493_Green_C_Securing_and_connecting_natural_spaces.html,raw_html_data\493_Green_C_Securing_and_connecting_natural_spaces.html,Success
Green Campus Initiatives at Nazarbayev University,https://una.city/nbs/nur-sultan/green-campus-initiatives-nazarbayev-university,496_Green_Campus_Initiatives_at_Nazarbayev_University.html,raw_html_data\496_Green_Campus_Initiatives_at_Nazarbayev_University.html,Success
Green Campus at the National Veterinary School of Toulouse,https://una.city/nbs/toulouse/green-campus-national-veterinary-school-toulouse,494_Green_Campus_at_the_National_Veterinary_School_of_Toulouse.html,raw_html_data\494_Green_Campus_at_the_National_Veterinary_School_of_Toulouse.html,Success
Green Campus at the Zagreb University,https://una.city/nbs/zagreb/green-campus-zagreb-university,495_Green_Campus_at_the_Zagreb_University.html,raw_html_data\495_Green_Campus_at_the_Zagreb_University.html,Success
Green City,https://una.city/nbs/ulan-ude/green-city,498_Green_City.html,raw_html_data\498_Green_City.html,Success
"Green Corridor ""Lazaro Cardenas"" in New Belgrade",https://una.city/nbs/belgrade-fua/green-corridor-lazaro-cardenas-new-belgrade,501_Green_Corridor_Lazaro_Cardenas_in_New_Belgrade.html,raw_html_data\501_Green_Corridor_Lazaro_Cardenas_in_New_Belgrade.html,Success
